Task,Split_type,Method,Seed,Validation_cases,Best_validation_score,Validation_Acc,Validation_MacroF1,Validation_BalancedAcc,Validation_MF1,Validation_MRec,Validation_ERec,Validation_LRec,Validation_Smooth,Validation_q_Spearman,Validation_q_Pearson,Test_Acc,Test_MacroF1,Test_BalancedAcc,Test_MF1,Test_MRec,Test_ERec,Test_LRec,Test_Smooth,Predicted_class_count,Best_L,Best_top_k,Best_model_config,Best_fusion_params
CAND017,bestcase_candidate,B9,2026,"9,10,11",0.4148295873001734,0.6333333333333333,0.5430886707184043,0.5538461538461539,0.5217391304347826,0.46153846153846156,0.2,1.0,0.16053919259596755,,,0.5384615384615384,0.5712682379349046,0.6948051948051948,0.45454545454545453,0.35714285714285715,1.0,0.7272727272727273,0.1461782165887681,3,5,30,small_L5_k30,{}
CAND017,bestcase_candidate,B10,2026,"9,10,11",0.41555557156353407,0.5833333333333334,0.5321316614420062,0.562962962962963,0.4827586206896552,0.4666666666666667,0.2222222222222222,1.0,0.059009529875986504,,,0.5,0.4179246566027472,0.4023125996810208,0.6046511627906976,0.6842105263157895,0.25,0.2727272727272727,0.056260709961255394,3,3,20,tiny_L3_k20,{}
CAND017,bestcase_candidate,B11,2026,"9,10,11",0.45893678920379916,0.6111111111111112,0.5844974948423224,0.5944444444444444,0.5333333333333333,0.5333333333333333,0.3333333333333333,0.9166666666666666,0.32653049972246995,0.7657657657657658,0.7484538995957305,0.7058823529411765,0.7018518518518521,0.7480063795853269,0.7500000000000001,0.7894736842105263,1.0,0.45454545454545453,0.3315199170261621,3,3,20,b11_tiny_L3_k20,{}
CAND017,bestcase_candidate,B12,2026,"9,10,11",0.38569320745096364,0.6388888888888888,0.6156004489337823,0.6111111111111112,0.606060606060606,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.19717806062277418,0.7657657657657658,0.7484538995957305,0.7058823529411765,0.6873015873015874,0.7352472089314195,0.761904761904762,0.8421052631578947,1.0,0.36363636363636365,0.18337260542317907,3,3,20,b11_tiny_L3_k20,"{""eta"": 0.85, ""fine_weight"": 0.03, ""temperature"": 2.0, ""mid_floor"": 0.01, ""early_tau"": 0.33, ""late_tau"": 0.73, ""order_blend"": 0.01, ""prior_sigma"": 0.45, ""q_prior_weakening"": false}"
CAND175,bestcase_candidate,B9,2026,"9,10,11",0.3080248331291392,0.5151515151515151,0.45500251382604323,0.4980392156862745,0.3846153846153846,0.29411764705882354,0.2,1.0,0.16956127670904,,,0.3,0.26364764267990076,0.58,0.3870967741935484,0.24,1.0,0.5,0.14861701436054248,3,4,30,small_L4_k30,{}
CAND175,bestcase_candidate,B10,2026,"9,10,11",0.5012505929637989,0.5151515151515151,0.4962406015037594,0.45953654188948306,0.6315789473684211,0.7058823529411765,0.4,0.2727272727272727,0.020558482408523558,,,0.3,0.24230540701128933,0.51,0.4117647058823529,0.28,1.0,0.25,0.01647831041079301,3,4,30,small_L4_k30,{}
CAND175,bestcase_candidate,B11,2026,"9,10,11",0.4981249786520503,0.6363636363636364,0.6444444444444444,0.6491978609625669,0.5999999999999999,0.5294117647058824,0.6,0.8181818181818182,0.19075704651574293,0.5330882352941178,0.5871883132202462,0.23333333333333334,0.2039884135472371,0.48333333333333334,0.3125,0.2,1.0,0.25,0.18693628262441891,3,4,30,b11_small_L4_k30_qweak,{}
CAND175,bestcase_candidate,B12,2026,"9,10,11",0.4607424190418604,0.6666666666666666,0.6680452164323132,0.6688057040998218,0.6451612903225806,0.5882352941176471,0.6,0.8181818181818182,0.09866378400994957,0.5330882352941178,0.5871883132202462,0.26666666666666666,0.22348484848484848,0.49666666666666665,0.36363636363636365,0.24,1.0,0.25,0.0957811345887983,3,4,30,b11_small_L4_k30_qweak,"{""eta"": 0.98, ""fine_weight"": 0.03, ""temperature"": 2.0, ""mid_floor"": 0.01, ""early_tau"": 0.25, ""late_tau"": 0.58, ""order_blend"": 0.03, ""prior_sigma"": 0.55, ""q_prior_weakening"": true}"
CAND109,bestcase_candidate,B9,2026,"3,10,12",0.6305245469662047,0.7666666666666667,0.8141299193930772,0.8571428571428572,0.8108108108108109,0.7142857142857143,1.0,0.8571428571428571,0.27014207281172276,,,0.5,0.3749415614773259,0.4025974025974026,0.5161290322580646,0.5714285714285714,0.0,0.6363636363636364,0.25105817737774205,3,4,30,small_L4_k30,{}
CAND109,bestcase_candidate,B10,2026,"3,10,12",0.6843096194330737,0.8787878787878788,0.8908382066276803,0.9365079365079364,0.8947368421052632,0.8095238095238095,1.0,1.0,0.3853971161530353,,,0.5588235294117647,0.4844300822561693,0.4833630421865716,0.5945945945945946,0.6470588235294118,0.16666666666666666,0.6363636363636364,0.3463209136505611,3,3,20,tiny_L3_k20,{}
