Split_type,Task,Seed,Train_cases,Validation_cases,Test_cases,Method,Acc,Macro-F1,Balanced-Acc,E-F1,M-F1,L-F1,E-Rec,M-Rec,L-Rec,M-Pre,M→E,M→L,E→M,L→M,Rev,Jump,Smooth,Predicted_class_count,Window length,Top_k,Config,Best_validation_score
original,N1,2026,"1,2,4,5,7,8,9,13,16","3,10,12","6,11,14,15",B9,0.5925925925925926,0.5607088989441932,0.5743145743145743,0.46153846153846156,0.47058823529411764,0.7500000000000001,0.3333333333333333,0.5714285714285714,0.8181818181818182,0.4,0.14285714285714285,0.2857142857142857,0.4444444444444444,0.18181818181818182,2,1,0.1510012929017345,3,5,30,small_L5_k30,0.681802351187946
original,N1,2026,"1,2,4,5,7,8,9,13,16","3,10,12","6,11,14,15",B10,0.3333333333333333,0.29333333333333333,0.2878787878787879,0.39999999999999997,0.0,0.48000000000000004,0.36363636363636365,0.0,0.5,0.0,0.14285714285714285,0.8571428571428571,0.5454545454545454,0.16666666666666666,3,3,0.28842302991284263,3,4,60,wide_L4_k60,0.5646160458460315
original,N1,2026,"1,2,4,5,7,8,9,13,16","3,10,12","6,11,14,15",B11,0.5,0.4087719298245614,0.47142857142857136,0.0,0.5263157894736842,0.7,0.0,0.7142857142857143,0.7,0.4166666666666667,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.2,3,1,0.2535589819862729,3,6,30,b11_sample_08,0.7052858854338496
original,N1,2026,"1,2,4,5,7,8,9,13,16","3,10,12","6,11,14,15",B12,0.5,0.39234449760765555,0.4857142857142857,0.0,0.5454545454545455,0.631578947368421,0.0,0.8571428571428571,0.6,0.4,0.0,0.14285714285714285,0.7142857142857143,0.4,2,0,0.11865974855796481,2,6,30,b11_sample_08,0.7696358014739153
original,N2,2026,"3,4,5,6,8,11,13,14,15","2,7,12","1,9,10,16",B9,0.7647058823529411,0.520976353928299,0.5277777777777778,0.7368421052631579,0.0,0.8260869565217391,0.5833333333333334,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,4,0.0364439070224762,2,3,20,tiny_L3_k20,0.1230597727904189
original,N2,2026,"3,4,5,6,8,11,13,14,15","2,7,12","1,9,10,16",B10,0.35294117647058826,0.3805346700083542,0.5628654970760234,0.7368421052631579,0.21428571428571425,0.1904761904761905,0.5833333333333334,1.0,0.10526315789473684,0.12,0.0,0.0,0.4166666666666667,0.8947368421052632,0,0,0.01729762554168701,3,3,20,tiny_L3_k20,0.25111735860319956
original,N2,2026,"3,4,5,6,8,11,13,14,15","2,7,12","1,9,10,16",B11,0.7647058823529411,0.5523809523809523,0.5380116959064327,0.8,0.0,0.8571428571428571,0.6666666666666666,0.0,0.9473684210526315,0.0,0.0,1.0,0.16666666666666666,0.05263157894736842,1,3,0.47968763960525396,3,3,30,b11_sample_07,0.4738887176167285
original,N2,2026,"3,4,5,6,8,11,13,14,15","2,7,12","1,9,10,16",B12,0.7352941176470589,0.6155610155610156,0.6140350877192983,0.8,0.18181818181818182,0.8648648648648649,0.6666666666666666,0.3333333333333333,0.8421052631578947,0.125,0.0,0.6666666666666666,0.3333333333333333,0.15789473684210525,2,1,0.29816433104535167,3,3,30,b11_sample_07,0.4549423279745382
original,N3,2026,"1,2,6,8,9,13,14,15,16","4,10,11","3,5,7,12",B9,0.5161290322580645,0.5144927536231884,0.5666666666666667,0.608695652173913,0.5,0.43478260869565216,0.7,0.6666666666666666,0.3333333333333333,0.4,0.16666666666666666,0.16666666666666666,0.1,0.3333333333333333,1,3,0.14423449089129767,3,4,60,wide_L4_k60,0.5170229315638174
original,N3,2026,"1,2,6,8,9,13,14,15,16","4,10,11","3,5,7,12",B10,0.5185185185185185,0.5222222222222223,0.5555555555555556,0.5333333333333333,0.5333333333333333,0.5,0.5714285714285714,0.6666666666666666,0.42857142857142855,0.4444444444444444,0.0,0.3333333333333333,0.14285714285714285,0.2857142857142857,1,1,0.14143425971269608,3,5,30,small_L5_k30,0.58746525399082
original,N3,2026,"1,2,6,8,9,13,14,15,16","4,10,11","3,5,7,12",B11,0.6,0.5777777777777778,0.5841269841269842,0.7333333333333334,0.5,0.5,0.7857142857142857,0.5,0.4666666666666667,0.5,0.0,0.5,0.0,0.2,1,3,0.16032101910921834,3,3,45,b11_sample_01,0.5319851719167813
original,N3,2026,"1,2,6,8,9,13,14,15,16","4,10,11","3,5,7,12",B12,0.6,0.5822222222222222,0.6174603174603175,0.7333333333333334,0.5333333333333333,0.48,0.7857142857142857,0.6666666666666666,0.4,0.4444444444444444,0.0,0.3333333333333333,0.07142857142857142,0.26666666666666666,0,1,0.1513385161325059,3,3,45,b11_sample_01,-0.29746357935762796
original,N4,2026,"1,3,5,6,7,9,12,15,16","10,11,14","2,4,8,13",B9,0.3181818181818182,0.32219251336898397,0.3606060606060606,0.3529411764705882,0.3636363636363636,0.25000000000000006,0.5,0.4,0.18181818181818182,0.3333333333333333,0.2,0.4,0.3333333333333333,0.18181818181818182,2,0,0.06717341558800803,3,6,45,mid_L6_k45,0.5777673394429288
original,N4,2026,"1,3,5,6,7,9,12,15,16","10,11,14","2,4,8,13",B10,0.4666666666666667,0.4427053140096618,0.4777777777777778,0.56,0.3333333333333333,0.43478260869565216,0.7,0.4,0.3333333333333333,0.2857142857142857,0.2,0.4,0.2,0.2,1,1,0.17667992699604768,3,4,60,wide_L4_k60,0.5982000952682052
original,N4,2026,"1,3,5,6,7,9,12,15,16","10,11,14","2,4,8,13",B11,0.5333333333333333,0.393993993993994,0.4000000000000001,0.5333333333333333,0.0,0.6486486486486486,0.4,0.0,0.8,0.0,0.0,1.0,0.1,0.13333333333333333,2,3,0.47471856128630374,3,4,30,b11_small_L4_k30_qweak,0.5926494898399577
original,N4,2026,"1,3,5,6,7,9,12,15,16","10,11,14","2,4,8,13",B12,0.5333333333333333,0.393993993993994,0.4000000000000001,0.5333333333333333,0.0,0.6486486486486486,0.4,0.0,0.8,0.0,0.0,1.0,0.1,0.13333333333333333,2,3,0.32172494168145566,3,4,30,b11_small_L4_k30_qweak,0.5896762979572696
stagebalanced,N1b,2026,"1,2,4,5,7,8,13,14,16","3,10,12","11,9,15,6",B9,0.37037037037037035,0.34428024083196496,0.3464646464646464,0.2857142857142857,0.33333333333333326,0.41379310344827586,0.16666666666666666,0.2727272727272727,0.6,0.42857142857142855,0.0,0.7272727272727273,0.0,0.4,1,1,0.12279744974027078,3,5,30,small_L5_k30,0.4601058045967172
stagebalanced,N1b,2026,"1,2,4,5,7,8,13,14,16","3,10,12","11,9,15,6",B10,0.3939393939393939,0.3280423280423281,0.42424242424242425,0.42857142857142855,0.0,0.5555555555555556,0.2727272727272727,0.0,1.0,0.0,0.0,1.0,0.36363636363636365,0.0,1,1,0.049220384657382966,3,3,20,tiny_L3_k20,0.4639680879627481
stagebalanced,N1b,2026,"1,2,4,5,7,8,13,14,16","3,10,12","11,9,15,6",B11,0.5185185185185185,0.5038793734445908,0.49292929292929283,0.4444444444444444,0.5217391304347826,0.5454545454545454,0.3333333333333333,0.5454545454545454,0.6,0.5,0.0,0.45454545454545453,0.5,0.3,4,1,0.10064623939494292,3,5,60,b11_sample_09,0.561132533825984
stagebalanced,N1b,2026,"1,2,4,5,7,8,13,14,16","3,10,12","11,9,15,6",B12,0.5925925925925926,0.5661375661375662,0.5505050505050505,0.5,0.6428571428571428,0.5555555555555556,0.3333333333333333,0.8181818181818182,0.5,0.5294117647058824,0.0,0.18181818181818182,0.5,0.5,2,0,0.11324097227117362,3,5,60,b11_sample_09,0.2476627300323438
stagebalanced,N2b,2026,"2,3,6,7,8,11,13,15,16","4,9,12","1,10,14,5",B9,0.6176470588235294,0.6062467997951869,0.6578947368421053,0.5714285714285715,0.5806451612903226,0.6666666666666667,0.6666666666666666,0.47368421052631576,0.8333333333333334,0.75,0.10526315789473684,0.42105263157894735,0.3333333333333333,0.16666666666666666,2,0,0.4538043298913787,3,3,20,tiny_L3_k20,0.6973456657952869
stagebalanced,N2b,2026,"2,3,6,7,8,11,13,15,16","4,9,12","1,10,14,5",B10,0.5666666666666667,0.5074275362318841,0.7369281045751634,0.4,0.4347826086956522,0.6874999999999999,1.0,0.29411764705882354,0.9166666666666666,0.8333333333333334,0.17647058823529413,0.5294117647058824,0.0,0.08333333333333333,0,0,0.27684655584968054,3,4,30,small_L4_k30,0.6985257874041447
stagebalanced,N2b,2026,"2,3,6,7,8,11,13,15,16","4,9,12","1,10,14,5",B11,0.5333333333333333,0.48888888888888893,0.7254901960784315,0.5,0.3,0.6666666666666666,1.0,0.17647058823529413,1.0,1.0,0.11764705882352941,0.7058823529411765,0.0,0.0,0,1,0.1871422933271298,3,4,30,b11_small_L4_k30_qweak,0.6760198248180358
stagebalanced,N2b,2026,"2,3,6,7,8,11,13,15,16","4,9,12","1,10,14,5",B12,0.6,0.7070707070707071,0.7647058823529411,1.0,0.45454545454545453,0.6666666666666666,1.0,0.29411764705882354,1.0,1.0,0.0,0.7058823529411765,0.0,0.0,0,0,0.1764198521637567,3,4,30,b11_small_L4_k30_qweak,0.5849595843386538
stagebalanced,N3b,2026,"4,5,6,9,10,11,13,14,15","1,3,8","12,2,7,16",B9,0.37037037037037035,0.21064425770308123,0.3541666666666667,0.5142857142857142,0.0,0.11764705882352941,1.0,0.0,0.0625,0.0,1.0,0.0,0.0,0.0,0,1,0.04359886924857679,2,5,30,small_L5_k30,0.6197036306919477
stagebalanced,N3b,2026,"4,5,6,9,10,11,13,14,15","1,3,8","12,2,7,16",B10,0.41935483870967744,0.2596491228070175,0.32371794871794873,0.5789473684210525,0.0,0.2,0.8461538461538461,0.0,0.125,0.0,1.0,0.0,0.0,0.125,3,4,,3,4,60,wide_L4_k60,0.5865505079998796
stagebalanced,N3b,2026,"4,5,6,9,10,11,13,14,15","1,3,8","12,2,7,16",B11,0.5142857142857142,0.32334943639291464,0.35784313725490197,0.6222222222222222,0.0,0.34782608695652173,0.8235294117647058,0.0,0.25,0.0,1.0,0.0,0.0,0.0,2,5,0.3033611825402101,2,3,30,b11_sample_14,0.6257879592218362
stagebalanced,N3b,2026,"4,5,6,9,10,11,13,14,15","1,3,8","12,2,7,16",B12,0.5428571428571428,0.351010101010101,0.3786764705882353,0.6363636363636364,0.0,0.4166666666666667,0.8235294117647058,0.0,0.3125,0.0,1.0,0.0,0.0,0.0,3,7,0.22736946468382,2,3,30,b11_sample_14,0.6452179085597823
stagebalanced,N4b,2026,"1,2,5,6,7,9,12,15,16","10,11,14","13,3,4,8",B9,0.5882352941176471,0.5635993135993136,0.6297852474323062,0.5714285714285715,0.4166666666666667,0.7027027027027025,0.6666666666666666,0.29411764705882354,0.9285714285714286,0.7142857142857143,0.11764705882352941,0.5882352941176471,0.3333333333333333,0.07142857142857142,2,0,0.4619483926488707,3,3,20,tiny_L3_k20,0.33957648910394805
stagebalanced,N4b,2026,"1,2,5,6,7,9,12,15,16","10,11,14","13,3,4,8",B10,0.7272727272727273,0.49170437405731526,0.47863247863247865,0.0,0.7058823529411765,0.7692307692307693,0.0,0.6666666666666666,0.7692307692307693,0.75,0.0,0.3333333333333333,0.0,0.15384615384615385,0,0,0.01855431828233931,3,6,45,mid_L6_k45,0.585000110425246
stagebalanced,N4b,2026,"1,2,5,6,7,9,12,15,16","10,11,14","13,3,4,8",B11,0.5666666666666667,0.380952380952381,0.3984126984126984,0.0,0.4,0.742857142857143,0.0,0.26666666666666666,0.9285714285714286,0.8,0.26666666666666666,0.4666666666666667,0.0,0.07142857142857142,4,2,0.018883771621263944,3,4,60,b11_wide_L4_k60,0.4819545722406717
