Method,Label,precision,recall,f1-score,support
B1,early,1.0,0.2976,0.4587,84.0
B1,middle,0.5755,0.6202,0.597,129.0
B1,late,0.65,1.0,0.7879,91.0
B1,accuracy,,,0.6447,304.0
B1,macro avg,0.7418,0.6393,0.6145,304.0
B1,weighted avg,0.7151,0.6447,0.6159,304.0
B2,early,0.5753,1.0,0.7304,84.0
B2,middle,0.0,0.0,0.0,129.0
B2,late,0.5759,1.0,0.7309,91.0
B2,accuracy,,,0.5757,304.0
B2,macro avg,0.3838,0.6667,0.4871,304.0
B2,weighted avg,0.3314,0.5757,0.4206,304.0
B3,early,0.8571,1.0,0.9231,84.0
B3,middle,0.9829,0.8915,0.935,129.0
B3,late,1.0,0.978,0.9889,91.0
B3,accuracy,,,0.9474,304.0
B3,macro avg,0.9467,0.9565,0.949,304.0
B3,weighted avg,0.9533,0.9474,0.9478,304.0
B4,early,0.783,0.9881,0.8737,84.0
B4,middle,0.8548,0.8217,0.8379,129.0
B4,late,1.0,0.8132,0.897,91.0
B4,accuracy,,,0.8651,304.0
B4,macro avg,0.8793,0.8743,0.8695,304.0
B4,weighted avg,0.8784,0.8651,0.8655,304.0
B5,early,0.9432,0.9881,0.9651,84.0
B5,middle,0.9919,0.9535,0.9723,129.0
B5,late,0.9891,1.0,0.9945,91.0
B5,accuracy,,,0.977,304.0
B5,macro avg,0.9747,0.9805,0.9773,304.0
B5,weighted avg,0.9776,0.977,0.977,304.0
B6,early,0.9231,0.7143,0.8054,84.0
B6,middle,0.7949,0.9612,0.8702,129.0
B6,late,1.0,0.9121,0.954,91.0
B6,accuracy,,,0.8783,304.0
B6,macro avg,0.906,0.8625,0.8765,304.0
B6,weighted avg,0.8917,0.8783,0.8774,304.0
B7,early,0.8,1.0,0.8889,84.0
B7,middle,0.9307,0.7287,0.8174,129.0
B7,late,0.8571,0.9231,0.8889,91.0
B7,accuracy,,,0.8618,304.0
B7,macro avg,0.8626,0.8839,0.8651,304.0
B7,weighted avg,0.8726,0.8618,0.8585,304.0
B8,early,0.8842,1.0,0.9385,84.0
B8,middle,1.0,0.8915,0.9426,129.0
B8,late,0.9681,1.0,0.9838,91.0
B8,accuracy,,,0.9539,304.0
B8,macro avg,0.9508,0.9638,0.955,304.0
B8,weighted avg,0.9585,0.9539,0.9538,304.0
B9,early,0.9655,1.0,0.9825,84.0
B9,middle,1.0,0.8915,0.9426,129.0
B9,late,0.8922,1.0,0.943,91.0
B9,accuracy,,,0.9539,304.0
B9,macro avg,0.9526,0.9638,0.956,304.0
B9,weighted avg,0.9582,0.9539,0.9537,304.0
B10,early,0.7119,1.0,0.8317,84.0
B10,middle,0.9406,0.7364,0.8261,129.0
B10,late,1.0,0.9341,0.9659,91.0
B10,accuracy,,,0.8684,304.0
B10,macro avg,0.8842,0.8902,0.8746,304.0
B10,weighted avg,0.8952,0.8684,0.8695,304.0
B11,early,0.9655,1.0,0.9825,84.0
B11,middle,1.0,0.9767,0.9882,129.0
B11,late,1.0,1.0,1.0,91.0
B11,accuracy,,,0.9901,304.0
B11,macro avg,0.9885,0.9922,0.9902,304.0
B11,weighted avg,0.9905,0.9901,0.9902,304.0
B12,early,0.9655,1.0,0.9825,84.0
B12,middle,0.9921,0.9767,0.9844,129.0
B12,late,1.0,0.989,0.9945,91.0
B12,accuracy,,,0.9868,304.0
B12,macro avg,0.9859,0.9886,0.9871,304.0
B12,weighted avg,0.9871,0.9868,0.9869,304.0
